Category,Titles Added 2017,Titles Added 2018,Titles Withdawn 2017,Titles Withdawn 2018,Volumes Added 2017,Volumes Added 2018,Volumes Withdrawn 2017,Volumes Withdrawn 2018,All Activities 2017,All Activities 2018
Book,7658,8574,2073,1641,7894,8976,4244,1793,21869,20984
Document,27,86,0,40,165,,0,2624,192,2750
eBook,1495,679,0,5269,1557,679,0,5269,3052,11896
eDocument,8,1,0,0,8,1,0,0,16,2
eMedia,0,0,0,297,0,0,0,297,0,594
eSerials,1,1034,0,0,0,1034,0,0,1,2068
Media,79,113,10,3534,132,182,37,3595,258,7424
Other,37,302,0,2,37,302,0,2,74,608
Serials,24,38,559,283,1067,851,16033,4154,17683,5326
All Formats,9329,10827,2642,11066,10860,12025,20314,17734,43145,51652
