Sum,YearMonth,Category,typeActivity
270,2017-01,Book,Titles Added
274,2017-01,Book,Volumes Added
338,2017-01,Book,Titles Added
26,2017-01,Book,Titles Added
-398,2017-01,Book,Titles Withdrawn
-29,2017-01,Book,Titles Withdrawn
372,2017-01,Book,Volumes Added
34,2017-01,Book,Volumes Added
-1089,2017-01,Book,Volumes Withdrawn
8,2017-01,Document,Titles Added
15,2017-01,Document,Volumes Added
1,2017-01,eBook,Titles Added
1,2017-01,eBook,Volumes Added
1,2017-01,eSerials,Titles Added
1,2017-01,eSerials,Volumes Added
3,2017-01,Media,Volumes Added
19,2017-01,Media,Titles Added
19,2017-01,Media,Volumes Added
2,2017-01,Serials,Titles Added
-42,2017-01,Serials,Titles Withdrawn
8,2017-01,Serials,Volumes Added
-515,2017-01,Serials,Volumes Withdrawn
2,2017-01,Serials,Titles Added
-3,2017-01,Serials,Titles Withdrawn
-9,2017-01,Serials,Titles Withdrawn
2,2017-01,Serials,Volumes Added
54,2017-01,Serials,Volumes Added
-173,2017-01,Serials,Volumes Withdrawn
-917,2017-01,Serials,Volumes Withdrawn
372,2017-01,Book,Titles Added
374,2017-01,Book,Volumes Added
124,2017-01,eBook,Titles Added
125,2017-01,eBook,Volumes Added
293,2017-02,Book,Titles Added
295,2017-02,Book,Volumes Added
1,2017-02,eBook,Titles Added
1,2017-02,eBook,Volumes Added
267,2017-02,Book,Titles Added
22,2017-02,Book,Titles Added
-657,2017-02,Book,Titles Withdrawn
-79,2017-02,Book,Titles Withdrawn
289,2017-02,Book,Volumes Added
24,2017-02,Book,Volumes Added
-1425,2017-02,Book,Volumes Withdrawn
-121,2017-02,Book,Volumes Withdrawn
3,2017-02,Document,Titles Added
7,2017-02,Document,Volumes Added
1,2017-02,eDocument,Titles Added
1,2017-02,eDocument,Volumes Added
1,2017-02,Media,Titles Added
1,2017-02,Media,Volumes Added
6,2017-02,Media,Titles Added
7,2017-02,Media,Volumes Added
8,2017-02,Media,Volumes Added
13,2017-02,Media,Titles Added
13,2017-02,Media,Volumes Added
-1,2017-02,Media,Titles Withdrawn
-6,2017-02,Media,Volumes Withdrawn
1,2017-02,Other,Titles Added
1,2017-02,Other,Volumes Added
-33,2017-02,Serials,Titles Withdrawn
3,2017-02,Serials,Volumes Added
-561,2017-02,Serials,Volumes Withdrawn
-7,2017-02,Serials,Titles Withdrawn
-12,2017-02,Serials,Titles Withdrawn
58,2017-02,Serials,Volumes Added
-9,2017-02,Serials,Volumes Withdrawn
-43,2017-02,Serials,Volumes Withdrawn
252,2017-02,Book,Titles Added
256,2017-02,Book,Volumes Added
225,2017-02,eBook,Titles Added
225,2017-02,eBook,Volumes Added
340,2017-03,Book,Titles Added
342,2017-03,Book,Volumes Added
309,2017-03,Book,Titles Added
14,2017-03,Book,Titles Added
-478,2017-03,Book,Titles Withdrawn
-137,2017-03,Book,Titles Withdrawn
347,2017-03,Book,Volumes Added
17,2017-03,Book,Volumes Added
-1042,2017-03,Book,Volumes Withdrawn
-158,2017-03,Book,Volumes Withdrawn
14,2017-03,Document,Volumes Added
7,2017-03,eDocument,Titles Added
7,2017-03,eDocument,Volumes Added
1,2017-03,Media,Volumes Added
5,2017-03,Media,Titles Added
5,2017-03,Media,Volumes Added
1,2017-03,Media,Volumes Added
6,2017-03,Other,Titles Added
6,2017-03,Other,Volumes Added
1,2017-03,Serials,Titles Added
-9,2017-03,Serials,Titles Withdrawn
4,2017-03,Serials,Volumes Added
-105,2017-03,Serials,Volumes Withdrawn
-2,2017-03,Serials,Titles Withdrawn
-51,2017-03,Serials,Titles Withdrawn
55,2017-03,Serials,Volumes Added
-2,2017-03,Serials,Volumes Withdrawn
-488,2017-03,Serials,Volumes Withdrawn
