Year-Month,Method,Category,Format,TitleVolume,Activity,Unit,Sum
2017-01,GENLOAD,Book,Book,Titles,additions,Acquisitions,270
2017-01,GENLOAD,Book,Book,Volumes,additions,Acquisitions,274
2017-01,Manual,Book,Book,Titles,additions,Cataloging,338
2017-01,Manual,Book,Book,Titles,additions,Serials,26
2017-01,Manual,Book,Book,Titles,withdraws,Cataloging,-398
2017-01,Manual,Book,Book,Titles,withdraws,Serials,-29
2017-01,Manual,Book,Book,Volumes,additions,Cataloging,372
2017-01,Manual,Book,Book,Volumes,additions,Serials,34
2017-01,Manual,Book,Book,Volumes,withdraws,Cataloging,-1089
2017-01,Manual,Document,Document,Titles,additions,Serials,8
2017-01,Manual,Document,Document,Volumes,additions,Serials,15
2017-01,Manual,eBook,eBook,Titles,additions,Cataloging,1
2017-01,Manual,eBook,eBook,Volumes,additions,Cataloging,1
2017-01,Manual,eSerials,ePeriodical,Titles,additions,Cataloging,1
2017-01,Manual,eSerials,ePeriodical,Volumes,additions,Cataloging,1
2017-01,Manual,Media,CD-ROM,Volumes,additions,Serials,3
2017-01,Manual,Media,DVD,Titles,additions,Cataloging,19
2017-01,Manual,Media,DVD,Volumes,additions,Cataloging,19
2017-01,Manual,Serials,Periodical,Titles,additions,Serials,2
2017-01,Manual,Serials,Periodical,Titles,withdraws,Serials,-42
2017-01,Manual,Serials,Periodical,Volumes,additions,Serials,8
2017-01,Manual,Serials,Periodical,Volumes,withdraws,Serials,-515
2017-01,Manual,Serials,Serial,Titles,additions,Cataloging,2
2017-01,Manual,Serials,Serial,Titles,withdraws,Cataloging,-3
2017-01,Manual,Serials,Serial,Titles,withdraws,Serials,-9
2017-01,Manual,Serials,Serial,Volumes,additions,Cataloging,2
2017-01,Manual,Serials,Serial,Volumes,additions,Serials,54
2017-01,Manual,Serials,Serial,Volumes,withdraws,Cataloging,-173
2017-01,Manual,Serials,Serial,Volumes,withdraws,Serials,-917
2017-01,P-FILE-90,Book,Book,Titles,additions,Acquisitions,372
2017-01,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,374
2017-01,P-FILE-90,eBook,eBook,Titles,additions,Acquisitions,124
2017-01,P-FILE-90,eBook,eBook,Volumes,additions,Acquisitions,125
2017-02,GENLOAD,Book,Book,Titles,additions,Acquisitions,293
2017-02,GENLOAD,Book,Book,Volumes,additions,Acquisitions,295
2017-02,GENLOAD,eBook,eBook,Titles,additions,Cataloging,1
2017-02,GENLOAD,eBook,eBook,Volumes,additions,Cataloging,1
2017-02,Manual,Book,Book,Titles,additions,Cataloging,267
2017-02,Manual,Book,Book,Titles,additions,Serials,22
2017-02,Manual,Book,Book,Titles,withdraws,Cataloging,-657
2017-02,Manual,Book,Book,Titles,withdraws,Serials,-79
2017-02,Manual,Book,Book,Volumes,additions,Cataloging,289
2017-02,Manual,Book,Book,Volumes,additions,Serials,24
2017-02,Manual,Book,Book,Volumes,withdraws,Cataloging,-1425
2017-02,Manual,Book,Book,Volumes,withdraws,Serials,-121
2017-02,Manual,Document,Document,Titles,additions,Serials,3
2017-02,Manual,Document,Document,Volumes,additions,Serials,7
2017-02,Manual,eDocument,eDocument,Titles,additions,Cataloging,1
2017-02,Manual,eDocument,eDocument,Volumes,additions,Cataloging,1
2017-02,Manual,Media,Audio CD,Titles,additions,Cataloging,1
2017-02,Manual,Media,Audio CD,Volumes,additions,Cataloging,1
2017-02,Manual,Media,Audio LP,Titles,additions,Cataloging,6
2017-02,Manual,Media,Audio LP,Volumes,additions,Cataloging,7
2017-02,Manual,Media,CD-ROM,Volumes,additions,Serials,8
2017-02,Manual,Media,DVD,Titles,additions,Cataloging,13
2017-02,Manual,Media,DVD,Volumes,additions,Cataloging,13
2017-02,Manual,Media,VHS,Titles,withdraws,Cataloging,-1
2017-02,Manual,Media,VHS,Volumes,withdraws,Cataloging,-6
2017-02,Manual,Other,Music,Titles,additions,Cataloging,1
2017-02,Manual,Other,Music,Volumes,additions,Cataloging,1
2017-02,Manual,Serials,Periodical,Titles,withdraws,Serials,-33
2017-02,Manual,Serials,Periodical,Volumes,additions,Serials,3
2017-02,Manual,Serials,Periodical,Volumes,withdraws,Serials,-561
2017-02,Manual,Serials,Serial,Titles,withdraws,Cataloging,-7
2017-02,Manual,Serials,Serial,Titles,withdraws,Serials,-12
2017-02,Manual,Serials,Serial,Volumes,additions,Serials,58
2017-02,Manual,Serials,Serial,Volumes,withdraws,Cataloging,-9
2017-02,Manual,Serials,Serial,Volumes,withdraws,Serials,-43
2017-02,P-FILE-90,Book,Book,Titles,additions,Acquisitions,252
2017-02,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,256
2017-02,P-FILE-90,eBook,eBook,Titles,additions,Acquisitions,225
2017-02,P-FILE-90,eBook,eBook,Volumes,additions,Acquisitions,225
2017-03,GENLOAD,Book,Book,Titles,additions,Acquisitions,340
2017-03,GENLOAD,Book,Book,Volumes,additions,Acquisitions,342
2017-03,Manual,Book,Book,Titles,additions,Cataloging,309
2017-03,Manual,Book,Book,Titles,additions,Serials,14
2017-03,Manual,Book,Book,Titles,withdraws,Cataloging,-478
2017-03,Manual,Book,Book,Titles,withdraws,Serials,-137
2017-03,Manual,Book,Book,Volumes,additions,Cataloging,347
2017-03,Manual,Book,Book,Volumes,additions,Serials,17
2017-03,Manual,Book,Book,Volumes,withdraws,Cataloging,-1042
2017-03,Manual,Book,Book,Volumes,withdraws,Serials,-158
2017-03,Manual,Document,Document,Volumes,additions,Serials,14
2017-03,Manual,eDocument,eDocument,Titles,additions,Cataloging,7
2017-03,Manual,eDocument,eDocument,Volumes,additions,Cataloging,7
2017-03,Manual,Media,CD-ROM,Volumes,additions,Serials,1
2017-03,Manual,Media,DVD,Titles,additions,Cataloging,5
2017-03,Manual,Media,DVD,Volumes,additions,Cataloging,5
2017-03,Manual,Media,Microform,Volumes,additions,Serials,1
2017-03,Manual,Other,Mixed,Titles,additions,Cataloging,6
2017-03,Manual,Other,Mixed,Volumes,additions,Cataloging,6
2017-03,Manual,Serials,Periodical,Titles,additions,Serials,1
2017-03,Manual,Serials,Periodical,Titles,withdraws,Serials,-9
2017-03,Manual,Serials,Periodical,Volumes,additions,Serials,4
2017-03,Manual,Serials,Periodical,Volumes,withdraws,Serials,-105
2017-03,Manual,Serials,Serial,Titles,withdraws,Cataloging,-2
2017-03,Manual,Serials,Serial,Titles,withdraws,Serials,-51
2017-03,Manual,Serials,Serial,Volumes,additions,Serials,55
2017-03,Manual,Serials,Serial,Volumes,withdraws,Cataloging,-2
2017-03,Manual,Serials,Serial,Volumes,withdraws,Serials,-488
2017-03,P-FILE-90,Book,Book,Titles,additions,Acquisitions,302
2017-03,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,302
2017-03,P-FILE-90,eBook,eBook,Titles,additions,Acquisitions,408
2017-03,P-FILE-90,eBook,eBook,Volumes,additions,Acquisitions,425
2017-04,Manual,Book,Book,Volumes,additions,Cataloging,2
2017-04,P-FILE-90,Book,Book,Titles,additions,Acquisitions,311
2017-04,P-FILE-90,Book,Book,Volumes,additions,Acquisitions,327
