Year,Type,Activity,Category,value
2017,Titles,Additions,Books,7658
2017,Titles,Additions,Documents,27
2017,Titles,Additions,eBooks,1495
2017,Titles,Additions,eDocuments,8
2017,Titles,Additions,eSerials,1
2017,Titles,Additions,Media,79
2017,Titles,Additions,Other,37
2017,Titles,Additions,Serials,24
2017,Titles,Withdraws,Books,2073
2017,Titles,Withdraws,Media,10
2017,Titles,Withdraws,Serials,559
2017,Volumes,Additions,Books,7894
2017,Volumes,Additions,Documents,165
2017,Volumes,Additions,eBooks,1557
2017,Volumes,Additions,eDocuments,8
2017,Volumes,Additions,eSerials,1
2017,Volumes,Additions,Media,132
2017,Volumes,Additions,Other,37
2017,Volumes,Additions,Serials,1067
2017,Volumes,Withdraws,Books,4244
2017,Volumes,Withdraws,Media,37
2017,Volumes,Withdraws,Serials,16033
2018,Titles,Additions,Books,8574
2018,Titles,Additions,Documents,86
2018,Titles,Additions,eBooks,679
2018,Titles,Additions,eDocuments,1
2018,Titles,Additions,eSerials,1034
2018,Titles,Additions,Media,113
2018,Titles,Additions,Other,302
2018,Titles,Additions,Serials,38
2018,Titles,Withdraws,Books,1641
2018,Titles,Withdraws,Documents,40
2018,Titles,Withdraws,eBooks,5269
2018,Titles,Withdraws,eMedia,297
2018,Titles,Withdraws,Media,3534
2018,Titles,Withdraws,Other,2
2018,Titles,Withdraws,Serials,283
2018,Volumes,Additions,Books,8976
2018,Volumes,Additions,Documents,56
2018,Volumes,Additions,eBooks,679
2018,Volumes,Additions,eDocuments,1
2018,Volumes,Additions,eSerials,1034
2018,Volumes,Additions,Media,182
2018,Volumes,Additions,Other,302
2018,Volumes,Additions,Serials,851
2018,Volumes,Withdraws,Books,1793
2018,Volumes,Withdraws,Documents,2624
2018,Volumes,Withdraws,eBooks,5269
2018,Volumes,Withdraws,eMedia,297
2018,Volumes,Withdraws,Media,3595
2018,Volumes,Withdraws,Other,2
2018,Volumes,Withdraws,Serials,4154
