"","count","activity","format","type","typeActivity","formatTypeActivity","year"
"1","8574","Added","Books","Titles","Titles Added","Books: Titles Added","2018"
"2","1641","Withdrawn","Books","Titles","Titles Withdrawn","Books: Titles Withdrawn","2018"
"3","8976","Added","Books","Volumes","Volumes Added","Books: Volumes Added","2018"
"4","1793","Withdrawn","Books","Volumes","Volumes Withdrawn","Books: Volumes Withdrawn","2018"
"5","86","Added","Documents","Titles","Titles Added","Documents: Titles Added","2018"
"6","40","Withdrawn","Documents","Titles","Titles Withdrawn","Documents: Titles Withdrawn","2018"
"7","56","Added","Documents","Volumes","Volumes Added","Documents: Volumes Added","2018"
"8","2624","Withdrawn","Documents","Volumes","Volumes Withdrawn","Documents: Volumes Withdrawn","2018"
"9","679","Added","eBooks","Titles","Titles Added","eBooks: Titles Added","2018"
"10","5269","Withdrawn","eBooks","Titles","Titles Withdrawn","eBooks: Titles Withdrawn","2018"
"11","679","Added","eBooks","Volumes","Volumes Added","eBooks: Volumes Added","2018"
"12","5269","Withdrawn","eBooks","Volumes","Volumes Withdrawn","eBooks: Volumes Withdrawn","2018"
"13","1","Added","eDocuments","Titles","Titles Added","eDocuments: Titles Added","2018"
"14","1","Added","eDocuments","Volumes","Volumes Added","eDocuments: Volumes Added","2018"
"15","297","Withdrawn","eMedia","Titles","Titles Withdrawn","eMedia: Titles Withdrawn","2018"
"16","297","Withdrawn","eMedia","Volumes","Volumes Withdrawn","eMedia: Volumes Withdrawn","2018"
"17","1034","Added","eSerials","Titles","Titles Added","eSerials: Titles Added","2018"
"18","1034","Added","eSerials","Volumes","Volumes Added","eSerials: Volumes Added","2018"
"19","113","Added","Media","Titles","Titles Added","Media: Titles Added","2018"
"20","3534","Withdrawn","Media","Titles","Titles Withdrawn","Media: Titles Withdrawn","2018"
"21","182","Added","Media","Volumes","Volumes Added","Media: Volumes Added","2018"
"22","3595","Withdrawn","Media","Volumes","Volumes Withdrawn","Media: Volumes Withdrawn","2018"
"23","302","Added","Other","Titles","Titles Added","Other: Titles Added","2018"
"24","2","Withdrawn","Other","Titles","Titles Withdrawn","Other: Titles Withdrawn","2018"
"25","302","Added","Other","Volumes","Volumes Added","Other: Volumes Added","2018"
"26","2","Withdrawn","Other","Volumes","Volumes Withdrawn","Other: Volumes Withdrawn","2018"
"27","38","Added","Serials","Titles","Titles Added","Serials: Titles Added","2018"
"28","283","Withdrawn","Serials","Titles","Titles Withdrawn","Serials: Titles Withdrawn","2018"
"29","851","Added","Serials","Volumes","Volumes Added","Serials: Volumes Added","2018"
"30","4154","Withdrawn","Serials","Volumes","Volumes Withdrawn","Serials: Volumes Withdrawn","2018"
